title,artist,category,image_file,lev_bas,lev_adv,lev_exp,lev_mas,lev_remas,version
すーぱーぬこになりたい,まふまふ,niconico＆VOCALOID™,d2441b78d4fb5ffc.png,4,7,9+,13,,MURASAKi
立ち入り禁止,まふまふ,niconico＆VOCALOID™,e1eb6ad1e4e1345c.png,4,6,10+,11,13+,FiNALE
CocktaiL,XYZ,niconico＆VOCALOID™,54189becb1c144d3.png,3,6,9,12,,maimaiDX
ナンセンス文学,Eve,niconico＆VOCALOID™,c1b5c8e26e70f996.png,4,7,10+,13,,MiLK
シャルル,バルーン,niconico＆VOCALOID™,3d6ae19fff511a61.png,3,6,8+,10+,,MiLK
ソリッド,豚乙女,東方Project,6f76e4f38c8d24c3.png,4,7+,10+,13,,maimaiDX
Bad Apple!! feat.nomico (REDALiCE Remix),Masayoshi Minoshima × REDALiCE,東方Project,ad00454bec47a605.png,4,7,10,12,,maimaiDX
Bad Apple!! feat nomico,Masayoshi Minoshima,東方Project,25676527db91025b.png,4,6,9,11+,12+,GreeN
CYBER Sparks,Tatsh,東方Project,cdbb2243b8abcdae.png,5,7,10+,11+,13+,MiLK PLUS
Money Money,暁Records,東方Project,4cd49bb6811afb1b.png,4,6,9+,12+,,FiNALE
LOVE EAST,暁Records,東方Project,7fac18263d456630.png,4,6,9+,12,,MiLK PLUS
WARNING×WARNING×WARNING,暁Records,東方Project,5f7dd24b13d5ff1d.png,3,7,9,11,,MiLK
泡沫、哀のまほろば,幽閉サテライト,東方Project,1ad46c5221faa3a0.png,4,6,9,11+,,MiLK
華鳥風月,幽閉サテライト,東方Project,e1a5916bfb31fa3b.png,3,5,8+,12,,MURASAKi PLUS
色は匂へど散りぬるを,幽閉サテライト,東方Project,196e63bd095d25da.png,3,6,8+,11+,,MURASAKi
月に叢雲華に風,幽閉サテライト,東方Project,f9f5c93325ed2b1d.png,2,6,9,12,,PiNK PLUS
ネクロファンタジア～Arr.Demetori,Demetori,東方Project,78baafabacc06f69.png,4,7,10+,13+,,FiNALE
Doll Judgment,ぬるはち,東方Project,a4afb1a17068919e.png,4,7+,11,13+,,MiLK
永遠のメロディ,あ～るの～と（いえろ～ぜぶら）,東方Project,6556acb6606f5950.png,4,6,9,11+,,MiLK
もうみんなしねばいいのに,谷屋楽,東方Project,0efa58724b907097.png,5,7,11+,13+,,MiLK
宿題が終わらないっ！,Innocent Keyと梨本悠里、JUNCA、小宮真央、樹詩音、大瀬良あい,東方Project,995ad36b4a7f07e4.png,4,6,9,12,,MURASAKi PLUS
東方スイーツ！～鬼畜姉妹と受難メイド～,Innocent Keyと小宮真央、ココ、樹詩音,東方Project,63be4d5eb7c931bd.png,4,6,9+,12+,,ORANGE PLUS
taboo tears you up,REDALiCE (HARDCORE TANO*C),東方Project,e108675f2aab8a85.png,4,7+,10+,13+,,maimaiDX 2022
Starlight Vision,矢鴇つかさ feat. 三澤秋,東方Project,783405c8be2fcaa6.png,4,7,10,12,,MURASAKi
幽闇に目醒めしは,セブンスヘブンMAXION,東方Project,c690f3e32313557e.png,3,6,9+,12+,,MURASAKi
物凄い勢いでけーねが物凄いうた,Halozy,東方Project,36bfc5734d8df91b.png,4,6,8+,12,,PiNK
進捗どうですか？,sumijun(Halozy) feat. ななひら(Confetto),東方Project,b49c6f2f23bd544d.png,5,7+,10,13,,MiLK PLUS
アマノジャクリバース feat. ｙｔｒ,魂音泉,東方Project,3f2d512deca0579b.png,4,7,10,13+,,MiLK PLUS
天狗の落とし文 feat. ｙｔｒ,魂音泉,東方Project,c095520ef94c76bb.png,4,6,10+,12,,MiLK
オーディエンスを沸かす程度の能力 feat.タイツォン,D.watt(IOSYS)＋らっぷびと,東方Project,b0cfe0f457175464.png,4,7,9,13+,,MURASAKi PLUS
Club Ibuki in Break All,void＋夕野ヨシミ (IOSYS) feat.藤原鞠菜,東方Project,546a5795b5e3d922.png,5,7,10,12+,,MURASAKi
チルノのパーフェクトさんすう教室　⑨周年バージョン,IOSYSと愉快な⑨周年フレンズ,東方Project,d5ff46836f80157d.png,4,7,9,12,,MURASAKi PLUS
チルノのパーフェクトさんすう教室,ARM＋夕野ヨシミ(IOSYS)feat. miko,東方Project,d44aee5f4b660d3d.png,4,6,9,12,,GreeN
患部で止まってすぐ溶ける～狂気の優曇華院,ARM＋夕野ヨシミ(IOSYS)feat. miko,東方Project,943b8a0563a24df8.png,3,7+,10+,12+,,GreeN PLUS
究極焼肉レストラン！お燐の地獄亭！,ARM＋夕野ヨシミ(IOSYS)feat. 藤枝あかね,東方Project,006d4517fc7e6e04.png,4,6,9+,12,,ORANGE
お嫁にしなさいっ！,ARM＋夕野ヨシミ(IOSYS),東方Project,0ba059088892b17c.png,4,6,9+,12,,GreeN PLUS
キャプテン・ムラサのケツアンカー,ARM＋夕野ヨシミ(IOSYS)feat.山本椛,東方Project,dc279f21432d1438.png,4,6,10,12+,,ORANGE PLUS
ひれ伏せ愚民どもっ！,ARM＋夕野ヨシミ (IOSYS) feat.miko,東方Project,75858ef4dd890365.png,4,7,9+,12+,,PiNK PLUS
げきオコスティックファイナリアリティぷんぷんマスタースパーク,ARM (IOSYS),東方Project,a7db2231c9a36066.png,4,7,10,12+,,maimaiDX
